pK,pL,value
355/512<=pK<=111/160,161/512<=pL<=403/1280, 	AllViolated
11/16<=pK<=1761/2560,101/320<=pL<=809/2560, 	AllSat
1761/2560<=pK<=881/1280,101/320<=pL<=809/2560, 	AllSat
11/16<=pK<=1761/2560,809/2560<=pL<=81/256, 	AllSat
881/1280<=pK<=1763/2560,101/320<=pL<=809/2560, 	AllSat
1763/2560<=pK<=441/640,101/320<=pL<=809/2560, 	AllSat
11/16<=pK<=1761/2560,811/2560<=pL<=203/640, 	AllViolated
1761/2560<=pK<=881/1280,811/2560<=pL<=203/640, 	AllViolated
353/512<=pK<=883/1280,809/2560<=pL<=81/256, 	AllViolated
1767/2560<=pK<=221/320,101/320<=pL<=809/2560, 	AllViolated
883/1280<=pK<=1767/2560,809/2560<=pL<=81/256, 	AllViolated
1767/2560<=pK<=221/320,809/2560<=pL<=81/256, 	AllViolated
889/1280<=pK<=1779/2560,5/16<=pL<=801/2560, 	AllSat
1779/2560<=pK<=89/128,5/16<=pL<=801/2560, 	AllSat
889/1280<=pK<=1779/2560,801/2560<=pL<=401/1280, 	AllSat
111/160<=pK<=1777/2560,401/1280<=pL<=803/2560, 	AllSat
889/1280<=pK<=1779/2560,803/2560<=pL<=201/640, 	AllViolated
1779/2560<=pK<=89/128,803/2560<=pL<=201/640, 	AllViolated
89/128<=pK<=1781/2560,5/16<=pL<=801/2560, 	AllSat
891/1280<=pK<=1783/2560,801/2560<=pL<=401/1280, 	AllViolated
1783/2560<=pK<=223/320,801/2560<=pL<=401/1280, 	AllViolated
841/1280<=pK<=1683/2560,423/1280<=pL<=847/2560, 	AllSat
1683/2560<=pK<=421/640,423/1280<=pL<=847/2560, 	AllSat
843/1280<=pK<=1687/2560,211/640<=pL<=169/512, 	AllSat
1687/2560<=pK<=211/320,211/640<=pL<=169/512, 	AllSat
337/512<=pK<=843/1280,847/2560<=pL<=53/160, 	AllViolated
1687/2560<=pK<=211/320,423/1280<=pL<=847/2560, 	AllViolated
843/1280<=pK<=1687/2560,847/2560<=pL<=53/160, 	AllViolated
1687/2560<=pK<=211/320,847/2560<=pL<=53/160, 	AllViolated
169/256<=pK<=1691/2560,421/1280<=pL<=843/2560, 	AllSat
1691/2560<=pK<=423/640,421/1280<=pL<=843/2560, 	AllSat
847/1280<=pK<=339/512,21/64<=pL<=841/2560, 	AllSat
339/512<=pK<=53/80,21/64<=pL<=841/2560, 	AllSat
1693/2560<=pK<=847/1280,843/2560<=pL<=211/640, 	AllViolated
339/512<=pK<=53/80,421/1280<=pL<=843/2560, 	AllViolated
847/1280<=pK<=339/512,843/2560<=pL<=211/640, 	AllViolated
339/512<=pK<=53/80,843/2560<=pL<=211/640, 	AllViolated
1689/2560<=pK<=169/256,169/512<=pL<=423/1280, 	AllViolated
1691/2560<=pK<=423/640,211/640<=pL<=169/512, 	AllViolated
169/256<=pK<=1691/2560,169/512<=pL<=423/1280, 	AllViolated
1691/2560<=pK<=423/640,169/512<=pL<=423/1280, 	AllViolated
833/1280<=pK<=1667/2560,427/1280<=pL<=171/512, 	AllSat
1667/2560<=pK<=417/640,427/1280<=pL<=171/512, 	AllSat
833/1280<=pK<=1667/2560,171/512<=pL<=107/320, 	AllSat
167/256<=pK<=1671/2560,213/640<=pL<=853/2560, 	AllSat
1671/2560<=pK<=209/320,213/640<=pL<=853/2560, 	AllSat
167/256<=pK<=1671/2560,853/2560<=pL<=427/1280, 	AllSat
417/640<=pK<=1669/2560,427/1280<=pL<=171/512, 	AllSat
167/256<=pK<=1671/2560,171/512<=pL<=107/320, 	AllViolated
1671/2560<=pK<=209/320,171/512<=pL<=107/320, 	AllViolated
837/1280<=pK<=335/512,85/256<=pL<=851/2560, 	AllSat
335/512<=pK<=419/640,85/256<=pL<=851/2560, 	AllSat
839/1280<=pK<=1679/2560,53/160<=pL<=849/2560, 	AllSat
1679/2560<=pK<=21/32,53/160<=pL<=849/2560, 	AllSat
1677/2560<=pK<=839/1280,851/2560<=pL<=213/640, 	AllViolated
1679/2560<=pK<=21/32,85/256<=pL<=851/2560, 	AllViolated
839/1280<=pK<=1679/2560,851/2560<=pL<=213/640, 	AllViolated
1679/2560<=pK<=21/32,851/2560<=pL<=213/640, 	AllViolated
209/320<=pK<=1673/2560,213/640<=pL<=853/2560, 	AllSat
335/512<=pK<=419/640,213/640<=pL<=853/2560, 	AllViolated
837/1280<=pK<=335/512,853/2560<=pL<=427/1280, 	AllViolated
335/512<=pK<=419/640,853/2560<=pL<=427/1280, 	AllViolated
13/20<=pK<=333/512,107/320<=pL<=857/2560, 	AllSat
833/1280<=pK<=1667/2560,857/2560<=pL<=429/1280, 	AllViolated
1667/2560<=pK<=417/640,857/2560<=pL<=429/1280, 	AllViolated
1681/2560<=pK<=841/1280,849/2560<=pL<=85/256, 	AllViolated
1683/2560<=pK<=421/640,53/160<=pL<=849/2560, 	AllViolated
841/1280<=pK<=1683/2560,849/2560<=pL<=85/256, 	AllViolated
1683/2560<=pK<=421/640,849/2560<=pL<=85/256, 	AllViolated
849/1280<=pK<=1699/2560,419/1280<=pL<=839/2560, 	AllSat
1699/2560<=pK<=85/128,419/1280<=pL<=839/2560, 	AllSat
851/1280<=pK<=1703/2560,209/640<=pL<=837/2560, 	AllSat
1703/2560<=pK<=213/320,209/640<=pL<=837/2560, 	AllSat
1701/2560<=pK<=851/1280,839/2560<=pL<=21/64, 	AllViolated
1703/2560<=pK<=213/320,419/1280<=pL<=839/2560, 	AllViolated
851/1280<=pK<=1703/2560,839/2560<=pL<=21/64, 	AllViolated
1703/2560<=pK<=213/320,839/2560<=pL<=21/64, 	AllViolated
853/1280<=pK<=1707/2560,417/1280<=pL<=167/512, 	AllSat
1707/2560<=pK<=427/640,417/1280<=pL<=167/512, 	AllSat
853/1280<=pK<=1707/2560,167/512<=pL<=209/640, 	AllSat
171/256<=pK<=1711/2560,13/40<=pL<=833/2560, 	AllSat
1711/2560<=pK<=107/160,13/40<=pL<=833/2560, 	AllSat
171/256<=pK<=1711/2560,833/2560<=pL<=417/1280, 	AllSat
427/640<=pK<=1709/2560,417/1280<=pL<=167/512, 	AllSat
171/256<=pK<=1711/2560,167/512<=pL<=209/640, 	AllViolated
1711/2560<=pK<=107/160,167/512<=pL<=209/640, 	AllViolated
213/320<=pK<=341/512,209/640<=pL<=837/2560, 	AllSat
853/1280<=pK<=1707/2560,837/2560<=pL<=419/1280, 	AllViolated
1707/2560<=pK<=427/640,837/2560<=pL<=419/1280, 	AllViolated
1697/2560<=pK<=849/1280,841/2560<=pL<=421/1280, 	AllViolated
1699/2560<=pK<=85/128,21/64<=pL<=841/2560, 	AllViolated
849/1280<=pK<=1699/2560,841/2560<=pL<=421/1280, 	AllViolated
1699/2560<=pK<=85/128,841/2560<=pL<=421/1280, 	AllViolated
107/160<=pK<=1713/2560,13/40<=pL<=833/2560, 	AllSat
857/1280<=pK<=343/512,833/2560<=pL<=417/1280, 	AllViolated
343/512<=pK<=429/640,833/2560<=pL<=417/1280, 	AllViolated
391/640<=pK<=313/512,91/256<=pL<=911/2560, 	AllSat
313/512<=pK<=783/1280,91/256<=pL<=911/2560, 	AllSat
1567/2560<=pK<=49/80,911/2560<=pL<=57/160, 	AllViolated
155/256<=pK<=1551/2560,459/1280<=pL<=919/2560, 	AllSat
1551/2560<=pK<=97/160,459/1280<=pL<=919/2560, 	AllSat
155/256<=pK<=1551/2560,919/2560<=pL<=23/64, 	AllSat
3/5<=pK<=1537/2560,463/1280<=pL<=927/2560, 	AllSat
1537/2560<=pK<=769/1280,463/1280<=pL<=927/2560, 	AllSat
3/5<=pK<=1537/2560,927/2560<=pL<=29/80, 	AllSat
769/1280<=pK<=1539/2560,463/1280<=pL<=927/2560, 	AllSat
77/128<=pK<=1541/2560,231/640<=pL<=185/512, 	AllSat
1541/2560<=pK<=771/1280,231/640<=pL<=185/512, 	AllSat
77/128<=pK<=1541/2560,185/512<=pL<=463/1280, 	AllSat
1543/2560<=pK<=193/320,185/512<=pL<=463/1280, 	AllViolated
77/128<=pK<=1541/2560,927/2560<=pL<=29/80, 	AllViolated
1541/2560<=pK<=771/1280,927/2560<=pL<=29/80, 	AllViolated
773/1280<=pK<=1547/2560,23/64<=pL<=921/2560, 	AllSat
1547/2560<=pK<=387/640,23/64<=pL<=921/2560, 	AllSat
773/1280<=pK<=1547/2560,921/2560<=pL<=461/1280, 	AllSat
193/320<=pK<=309/512,461/1280<=pL<=923/2560, 	AllSat
309/512<=pK<=773/1280,461/1280<=pL<=923/2560, 	AllSat
1547/2560<=pK<=387/640,923/2560<=pL<=231/640, 	AllViolated
387/640<=pK<=1549/2560,23/64<=pL<=921/2560, 	AllSat
155/256<=pK<=1551/2560,921/2560<=pL<=461/1280, 	AllViolated
1551/2560<=pK<=97/160,921/2560<=pL<=461/1280, 	AllViolated
309/512<=pK<=773/1280,231/640<=pL<=185/512, 	AllViolated
193/320<=pK<=309/512,185/512<=pL<=463/1280, 	AllViolated
309/512<=pK<=773/1280,185/512<=pL<=463/1280, 	AllViolated
389/640<=pK<=1557/2560,457/1280<=pL<=183/512, 	AllSat
1557/2560<=pK<=779/1280,457/1280<=pL<=183/512, 	AllSat
389/640<=pK<=1557/2560,183/512<=pL<=229/640, 	AllSat
779/1280<=pK<=1559/2560,457/1280<=pL<=183/512, 	AllSat
777/1280<=pK<=311/512,229/640<=pL<=917/2560, 	AllSat
311/512<=pK<=389/640,229/640<=pL<=917/2560, 	AllSat
1553/2560<=pK<=777/1280,919/2560<=pL<=23/64, 	AllViolated
311/512<=pK<=389/640,459/1280<=pL<=919/2560, 	AllViolated
777/1280<=pK<=311/512,919/2560<=pL<=23/64, 	AllViolated
311/512<=pK<=389/640,919/2560<=pL<=23/64, 	AllViolated
1557/2560<=pK<=779/1280,917/2560<=pL<=459/1280, 	AllViolated
39/64<=pK<=1561/2560,57/160<=pL<=913/2560, 	AllSat
1561/2560<=pK<=781/1280,57/160<=pL<=913/2560, 	AllSat
39/64<=pK<=1561/2560,913/2560<=pL<=457/1280, 	AllSat
781/1280<=pK<=1563/2560,57/160<=pL<=913/2560, 	AllSat
39/64<=pK<=1561/2560,183/512<=pL<=229/640, 	AllViolated
1561/2560<=pK<=781/1280,183/512<=pL<=229/640, 	AllViolated
313/512<=pK<=783/1280,57/160<=pL<=913/2560, 	AllViolated
391/640<=pK<=313/512,913/2560<=pL<=457/1280, 	AllViolated
313/512<=pK<=783/1280,913/2560<=pL<=457/1280, 	AllViolated
789/1280<=pK<=1579/2560,451/1280<=pL<=903/2560, 	AllSat
1579/2560<=pK<=79/128,451/1280<=pL<=903/2560, 	AllSat
791/1280<=pK<=1583/2560,45/128<=pL<=901/2560, 	AllSat
1581/2560<=pK<=791/1280,903/2560<=pL<=113/320, 	AllViolated
1583/2560<=pK<=99/160,451/1280<=pL<=903/2560, 	AllViolated
791/1280<=pK<=1583/2560,903/2560<=pL<=113/320, 	AllViolated
1583/2560<=pK<=99/160,903/2560<=pL<=113/320, 	AllViolated
157/256<=pK<=1571/2560,453/1280<=pL<=907/2560, 	AllSat
1571/2560<=pK<=393/640,453/1280<=pL<=907/2560, 	AllSat
157/256<=pK<=1571/2560,907/2560<=pL<=227/640, 	AllSat
787/1280<=pK<=315/512,113/320<=pL<=181/512, 	AllSat
315/512<=pK<=197/320,113/320<=pL<=181/512, 	AllSat
787/1280<=pK<=315/512,181/512<=pL<=453/1280, 	AllSat
393/640<=pK<=1573/2560,453/1280<=pL<=907/2560, 	AllSat
787/1280<=pK<=315/512,907/2560<=pL<=227/640, 	AllViolated
315/512<=pK<=197/320,907/2560<=pL<=227/640, 	AllViolated
49/80<=pK<=1569/2560,227/640<=pL<=909/2560, 	AllSat
157/256<=pK<=1571/2560,909/2560<=pL<=91/256, 	AllViolated
1571/2560<=pK<=393/640,909/2560<=pL<=91/256, 	AllViolated
1569/2560<=pK<=157/256,91/256<=pL<=911/2560, 	AllViolated
49/80<=pK<=1569/2560,911/2560<=pL<=57/160, 	AllViolated
1569/2560<=pK<=157/256,911/2560<=pL<=57/160, 	AllViolated
1577/2560<=pK<=789/1280,181/512<=pL<=453/1280, 	AllViolated
1579/2560<=pK<=79/128,113/320<=pL<=181/512, 	AllViolated
789/1280<=pK<=1579/2560,181/512<=pL<=453/1280, 	AllViolated
1579/2560<=pK<=79/128,181/512<=pL<=453/1280, 	AllViolated
99/160<=pK<=317/512,449/1280<=pL<=899/2560, 	AllSat
317/512<=pK<=793/1280,449/1280<=pL<=899/2560, 	AllSat
99/160<=pK<=317/512,899/2560<=pL<=45/128, 	AllSat
793/1280<=pK<=1587/2560,449/1280<=pL<=899/2560, 	AllSat
397/640<=pK<=1589/2560,7/20<=pL<=897/2560, 	AllSat
1589/2560<=pK<=159/256,7/20<=pL<=897/2560, 	AllSat
397/640<=pK<=1589/2560,897/2560<=pL<=449/1280, 	AllSat
1591/2560<=pK<=199/320,897/2560<=pL<=449/1280, 	AllViolated
397/640<=pK<=1589/2560,899/2560<=pL<=45/128, 	AllViolated
1589/2560<=pK<=159/256,899/2560<=pL<=45/128, 	AllViolated
99/160<=pK<=317/512,901/2560<=pL<=451/1280, 	AllViolated
317/512<=pK<=793/1280,901/2560<=pL<=451/1280, 	AllViolated
1593/2560<=pK<=797/1280,7/20<=pL<=897/2560, 	AllViolated
199/320<=pK<=1593/2560,897/2560<=pL<=449/1280, 	AllViolated
1593/2560<=pK<=797/1280,897/2560<=pL<=449/1280, 	AllViolated
1537/2560<=pK<=769/1280,929/2560<=pL<=93/256, 	AllViolated
131/256<=pK<=1311/2560,543/1280<=pL<=1087/2560, 	AllSat
1311/2560<=pK<=41/80,543/1280<=pL<=1087/2560, 	AllSat
131/256<=pK<=1311/2560,1087/2560<=pL<=17/40, 	AllSat
671/1280<=pK<=1343/2560,53/128<=pL<=1061/2560, 	AllSat
1343/2560<=pK<=21/40,53/128<=pL<=1061/2560, 	AllSat
671/1280<=pK<=1343/2560,1061/2560<=pL<=531/1280, 	AllSat
67/128<=pK<=1341/2560,531/1280<=pL<=1063/2560, 	AllSat
1341/2560<=pK<=671/1280,531/1280<=pL<=1063/2560, 	AllSat
67/128<=pK<=1341/2560,1063/2560<=pL<=133/320, 	AllSat
1343/2560<=pK<=21/40,1063/2560<=pL<=133/320, 	AllViolated
133/256<=pK<=1331/2560,107/256<=pL<=1071/2560, 	AllSat
1331/2560<=pK<=333/640,107/256<=pL<=1071/2560, 	AllSat
133/256<=pK<=1331/2560,1071/2560<=pL<=67/160, 	AllSat
333/640<=pK<=1333/2560,267/640<=pL<=1069/2560, 	AllSat
1333/2560<=pK<=667/1280,267/640<=pL<=1069/2560, 	AllSat
333/640<=pK<=1333/2560,1069/2560<=pL<=107/256, 	AllSat
267/512<=pK<=167/320,1069/2560<=pL<=107/256, 	AllViolated
1333/2560<=pK<=667/1280,1071/2560<=pL<=67/160, 	AllViolated
669/1280<=pK<=1339/2560,133/320<=pL<=213/512, 	AllSat
167/320<=pK<=1337/2560,533/1280<=pL<=1067/2560, 	AllSat
1339/2560<=pK<=67/128,533/1280<=pL<=1067/2560, 	AllViolated
669/1280<=pK<=1339/2560,1067/2560<=pL<=267/640, 	AllViolated
1339/2560<=pK<=67/128,1067/2560<=pL<=267/640, 	AllViolated
67/128<=pK<=1341/2560,213/512<=pL<=533/1280, 	AllViolated
1341/2560<=pK<=671/1280,213/512<=pL<=533/1280, 	AllViolated
1337/2560<=pK<=669/1280,267/640<=pL<=1069/2560, 	AllViolated
167/320<=pK<=1337/2560,1069/2560<=pL<=107/256, 	AllViolated
1337/2560<=pK<=669/1280,1069/2560<=pL<=107/256, 	AllViolated
663/1280<=pK<=1327/2560,537/1280<=pL<=215/512, 	AllSat
661/1280<=pK<=1323/2560,269/640<=pL<=1077/2560, 	AllSat
1323/2560<=pK<=331/640,269/640<=pL<=1077/2560, 	AllSat
661/1280<=pK<=1323/2560,1077/2560<=pL<=539/1280, 	AllSat
33/64<=pK<=1321/2560,539/1280<=pL<=1079/2560, 	AllSat
1321/2560<=pK<=661/1280,539/1280<=pL<=1079/2560, 	AllSat
33/64<=pK<=1321/2560,1079/2560<=pL<=27/64, 	AllSat
1323/2560<=pK<=331/640,1079/2560<=pL<=27/64, 	AllViolated
331/640<=pK<=265/512,269/640<=pL<=1077/2560, 	AllSat
1327/2560<=pK<=83/160,269/640<=pL<=1077/2560, 	AllViolated
663/1280<=pK<=1327/2560,1077/2560<=pL<=539/1280, 	AllViolated
1327/2560<=pK<=83/160,1077/2560<=pL<=539/1280, 	AllViolated
659/1280<=pK<=1319/2560,27/64<=pL<=1081/2560, 	AllSat
1319/2560<=pK<=33/64,27/64<=pL<=1081/2560, 	AllSat
329/640<=pK<=1317/2560,541/1280<=pL<=1083/2560, 	AllSat
1319/2560<=pK<=33/64,541/1280<=pL<=1083/2560, 	AllViolated
659/1280<=pK<=1319/2560,1083/2560<=pL<=271/640, 	AllViolated
1319/2560<=pK<=33/64,1083/2560<=pL<=271/640, 	AllViolated
657/1280<=pK<=263/512,271/640<=pL<=217/512, 	AllSat
1313/2560<=pK<=657/1280,1087/2560<=pL<=17/40, 	AllViolated
263/512<=pK<=329/640,543/1280<=pL<=1087/2560, 	AllViolated
657/1280<=pK<=263/512,1087/2560<=pL<=17/40, 	AllViolated
263/512<=pK<=329/640,1087/2560<=pL<=17/40, 	AllViolated
1317/2560<=pK<=659/1280,271/640<=pL<=217/512, 	AllViolated
329/640<=pK<=1317/2560,217/512<=pL<=543/1280, 	AllViolated
1317/2560<=pK<=659/1280,217/512<=pL<=543/1280, 	AllViolated
1321/2560<=pK<=661/1280,1081/2560<=pL<=541/1280, 	AllViolated
83/160<=pK<=1329/2560,67/160<=pL<=1073/2560, 	AllSat
1329/2560<=pK<=133/256,67/160<=pL<=1073/2560, 	AllSat
1331/2560<=pK<=333/640,1073/2560<=pL<=537/1280, 	AllViolated
1329/2560<=pK<=133/256,537/1280<=pL<=215/512, 	AllViolated
83/160<=pK<=1329/2560,215/512<=pL<=269/640, 	AllViolated
1329/2560<=pK<=133/256,215/512<=pL<=269/640, 	AllViolated
687/1280<=pK<=275/512,259/640<=pL<=1037/2560, 	AllSat
275/512<=pK<=43/80,259/640<=pL<=1037/2560, 	AllSat
343/640<=pK<=1373/2560,519/1280<=pL<=1039/2560, 	AllSat
275/512<=pK<=43/80,519/1280<=pL<=1039/2560, 	AllViolated
687/1280<=pK<=275/512,1039/2560<=pL<=13/32, 	AllViolated
275/512<=pK<=43/80,1039/2560<=pL<=13/32, 	AllViolated
135/256<=pK<=1351/2560,527/1280<=pL<=211/512, 	AllSat
1351/2560<=pK<=169/320,527/1280<=pL<=211/512, 	AllSat
135/256<=pK<=1351/2560,211/512<=pL<=33/80, 	AllSat
679/1280<=pK<=1359/2560,131/320<=pL<=1049/2560, 	AllSat
1359/2560<=pK<=17/32,131/320<=pL<=1049/2560, 	AllSat
679/1280<=pK<=1359/2560,1049/2560<=pL<=105/256, 	AllSat
339/640<=pK<=1357/2560,105/256<=pL<=1051/2560, 	AllSat
679/1280<=pK<=1359/2560,1051/2560<=pL<=263/640, 	AllViolated
1359/2560<=pK<=17/32,1051/2560<=pL<=263/640, 	AllViolated
169/320<=pK<=1353/2560,263/640<=pL<=1053/2560, 	AllSat
1353/2560<=pK<=677/1280,263/640<=pL<=1053/2560, 	AllSat
169/320<=pK<=1353/2560,1053/2560<=pL<=527/1280, 	AllSat
677/1280<=pK<=271/512,263/640<=pL<=1053/2560, 	AllSat
1353/2560<=pK<=677/1280,211/512<=pL<=33/80, 	AllViolated
1357/2560<=pK<=679/1280,263/640<=pL<=1053/2560, 	AllViolated
339/640<=pK<=1357/2560,1053/2560<=pL<=527/1280, 	AllViolated
1357/2560<=pK<=679/1280,1053/2560<=pL<=527/1280, 	AllViolated
683/1280<=pK<=1367/2560,521/1280<=pL<=1043/2560, 	AllSat
1367/2560<=pK<=171/320,521/1280<=pL<=1043/2560, 	AllSat
17/32<=pK<=1361/2560,523/1280<=pL<=1047/2560, 	AllSat
1361/2560<=pK<=681/1280,523/1280<=pL<=1047/2560, 	AllSat
17/32<=pK<=1361/2560,1047/2560<=pL<=131/320, 	AllSat
681/1280<=pK<=1363/2560,523/1280<=pL<=1047/2560, 	AllSat
341/640<=pK<=273/512,261/640<=pL<=209/512, 	AllSat
1367/2560<=pK<=171/320,261/640<=pL<=209/512, 	AllViolated
683/1280<=pK<=1367/2560,209/512<=pL<=523/1280, 	AllViolated
1367/2560<=pK<=171/320,209/512<=pL<=523/1280, 	AllViolated
273/512<=pK<=683/1280,523/1280<=pL<=1047/2560, 	AllViolated
341/640<=pK<=273/512,1047/2560<=pL<=131/320, 	AllViolated
273/512<=pK<=683/1280,1047/2560<=pL<=131/320, 	AllViolated
171/320<=pK<=1369/2560,13/32<=pL<=1041/2560, 	AllSat
1369/2560<=pK<=137/256,13/32<=pL<=1041/2560, 	AllSat
171/320<=pK<=1369/2560,1041/2560<=pL<=521/1280, 	AllSat
1371/2560<=pK<=343/640,1041/2560<=pL<=521/1280, 	AllViolated
1369/2560<=pK<=137/256,1043/2560<=pL<=261/640, 	AllViolated
1373/2560<=pK<=687/1280,13/32<=pL<=1041/2560, 	AllViolated
343/640<=pK<=1373/2560,1041/2560<=pL<=521/1280, 	AllViolated
1373/2560<=pK<=687/1280,1041/2560<=pL<=521/1280, 	AllViolated
1361/2560<=pK<=681/1280,1049/2560<=pL<=105/256, 	AllViolated
691/1280<=pK<=1383/2560,103/256<=pL<=1031/2560, 	AllSat
1383/2560<=pK<=173/320,103/256<=pL<=1031/2560, 	AllSat
139/256<=pK<=1391/2560,2/5<=pL<=205/512, 	AllSat
1391/2560<=pK<=87/160,2/5<=pL<=205/512, 	AllSat
347/640<=pK<=1389/2560,513/1280<=pL<=1027/2560, 	AllSat
1391/2560<=pK<=87/160,513/1280<=pL<=1027/2560, 	AllViolated
139/256<=pK<=1391/2560,1027/2560<=pL<=257/640, 	AllViolated
1391/2560<=pK<=87/160,1027/2560<=pL<=257/640, 	AllViolated
173/320<=pK<=277/512,257/640<=pL<=1029/2560, 	AllSat
277/512<=pK<=693/1280,257/640<=pL<=1029/2560, 	AllSat
173/320<=pK<=277/512,1029/2560<=pL<=103/256, 	AllSat
1387/2560<=pK<=347/640,1029/2560<=pL<=103/256, 	AllViolated
277/512<=pK<=693/1280,1031/2560<=pL<=129/320, 	AllViolated
1389/2560<=pK<=139/256,257/640<=pL<=1029/2560, 	AllViolated
347/640<=pK<=1389/2560,1029/2560<=pL<=103/256, 	AllViolated
1389/2560<=pK<=139/256,1029/2560<=pL<=103/256, 	AllViolated
43/80<=pK<=1377/2560,517/1280<=pL<=207/512, 	AllSat
1377/2560<=pK<=689/1280,517/1280<=pL<=207/512, 	AllSat
43/80<=pK<=1377/2560,207/512<=pL<=259/640, 	AllSat
1379/2560<=pK<=69/128,207/512<=pL<=259/640, 	AllViolated
69/128<=pK<=1381/2560,129/320<=pL<=1033/2560, 	AllSat
1383/2560<=pK<=173/320,129/320<=pL<=1033/2560, 	AllViolated
691/1280<=pK<=1383/2560,1033/2560<=pL<=517/1280, 	AllViolated
1383/2560<=pK<=173/320,1033/2560<=pL<=517/1280, 	AllViolated
1381/2560<=pK<=691/1280,517/1280<=pL<=207/512, 	AllViolated
69/128<=pK<=1381/2560,207/512<=pL<=259/640, 	AllViolated
1381/2560<=pK<=691/1280,207/512<=pL<=259/640, 	AllViolated
1377/2560<=pK<=689/1280,1037/2560<=pL<=519/1280, 	AllViolated
1393/2560<=pK<=697/1280,205/512<=pL<=513/1280, 	AllViolated
673/1280<=pK<=1347/2560,529/1280<=pL<=1059/2560, 	AllSat
337/640<=pK<=1349/2560,33/80<=pL<=1057/2560, 	AllSat
1349/2560<=pK<=135/256,33/80<=pL<=1057/2560, 	AllSat
1351/2560<=pK<=169/320,1057/2560<=pL<=529/1280, 	AllViolated
1349/2560<=pK<=135/256,529/1280<=pL<=1059/2560, 	AllViolated
337/640<=pK<=1349/2560,1059/2560<=pL<=53/128, 	AllViolated
1349/2560<=pK<=135/256,1059/2560<=pL<=53/128, 	AllViolated
21/40<=pK<=269/512,53/128<=pL<=1061/2560, 	AllSat
1347/2560<=pK<=337/640,53/128<=pL<=1061/2560, 	AllViolated
673/1280<=pK<=1347/2560,1061/2560<=pL<=531/1280, 	AllViolated
1347/2560<=pK<=337/640,1061/2560<=pL<=531/1280, 	AllViolated
647/1280<=pK<=259/512,55/128<=pL<=1101/2560, 	AllSat
259/512<=pK<=81/160,55/128<=pL<=1101/2560, 	AllSat
647/1280<=pK<=259/512,1101/2560<=pL<=551/1280, 	AllSat
323/640<=pK<=1293/2560,551/1280<=pL<=1103/2560, 	AllSat
647/1280<=pK<=259/512,1103/2560<=pL<=69/160, 	AllViolated
259/512<=pK<=81/160,1103/2560<=pL<=69/160, 	AllViolated
651/1280<=pK<=1303/2560,547/1280<=pL<=219/512, 	AllSat
653/1280<=pK<=1307/2560,109/256<=pL<=1091/2560, 	AllSat
1307/2560<=pK<=327/640,109/256<=pL<=1091/2560, 	AllSat
327/640<=pK<=1309/2560,17/40<=pL<=1089/2560, 	AllSat
1309/2560<=pK<=131/256,17/40<=pL<=1089/2560, 	AllSat
327/640<=pK<=1309/2560,1089/2560<=pL<=109/256, 	AllSat
1311/2560<=pK<=41/80,1089/2560<=pL<=109/256, 	AllViolated
1309/2560<=pK<=131/256,1091/2560<=pL<=273/640, 	AllViolated
163/320<=pK<=261/512,273/640<=pL<=1093/2560, 	AllSat
1307/2560<=pK<=327/640,273/640<=pL<=1093/2560, 	AllViolated
653/1280<=pK<=1307/2560,1093/2560<=pL<=547/1280, 	AllViolated
1307/2560<=pK<=327/640,1093/2560<=pL<=547/1280, 	AllViolated
261/512<=pK<=653/1280,547/1280<=pL<=219/512, 	AllViolated
163/320<=pK<=261/512,219/512<=pL<=137/320, 	AllViolated
261/512<=pK<=653/1280,219/512<=pL<=137/320, 	AllViolated
649/1280<=pK<=1299/2560,137/320<=pL<=1097/2560, 	AllSat
1299/2560<=pK<=65/128,137/320<=pL<=1097/2560, 	AllSat
649/1280<=pK<=1299/2560,1097/2560<=pL<=549/1280, 	AllSat
81/160<=pK<=1297/2560,549/1280<=pL<=1099/2560, 	AllSat
1297/2560<=pK<=649/1280,549/1280<=pL<=1099/2560, 	AllSat
81/160<=pK<=1297/2560,1099/2560<=pL<=55/128, 	AllSat
1299/2560<=pK<=65/128,1099/2560<=pL<=55/128, 	AllViolated
1301/2560<=pK<=651/1280,1097/2560<=pL<=549/1280, 	AllViolated
1303/2560<=pK<=163/320,137/320<=pL<=1097/2560, 	AllViolated
651/1280<=pK<=1303/2560,1097/2560<=pL<=549/1280, 	AllViolated
1303/2560<=pK<=163/320,1097/2560<=pL<=549/1280, 	AllViolated
1297/2560<=pK<=649/1280,1101/2560<=pL<=551/1280, 	AllViolated
643/1280<=pK<=1287/2560,553/1280<=pL<=1107/2560, 	AllSat
1287/2560<=pK<=161/320,553/1280<=pL<=1107/2560, 	AllSat
643/1280<=pK<=1287/2560,1107/2560<=pL<=277/640, 	AllSat
641/1280<=pK<=1283/2560,111/256<=pL<=1111/2560, 	AllSat
1283/2560<=pK<=321/640,111/256<=pL<=1111/2560, 	AllSat
641/1280<=pK<=1283/2560,1111/2560<=pL<=139/320, 	AllSat
321/640<=pK<=257/512,277/640<=pL<=1109/2560, 	AllSat
257/512<=pK<=643/1280,277/640<=pL<=1109/2560, 	AllSat
321/640<=pK<=257/512,1109/2560<=pL<=111/256, 	AllSat
1287/2560<=pK<=161/320,1109/2560<=pL<=111/256, 	AllViolated
257/512<=pK<=643/1280,1111/2560<=pL<=139/320, 	AllViolated
129/256<=pK<=1291/2560,69/160<=pL<=221/512, 	AllSat
